Deputy,N_news
JOÃO CRAVINHO,842
HELENA TERRA,729
CARLOS ANDRADE MIRANDA,723
JOÃO PINHO DE ALMEIDA,712
VÍTOR BAPTISTA,664
HUGO NUNES,623
JOÃO GASPAR,617
PAULO FONSECA,603
ANA CATARINA MENDONÇA MENDES,570
GLÓRIA ARAÚJO,570
MENDES BOTA,566
JOÃO BERNARDO,560
ANA ZITA GOMES,545
ZITA SEABRA,540
MATILDE SOUSA FRANCO,534
COSTA AMORIM,465
ARMANDO ALVES,428
EUGÉNIO ROSA,421
FERNANDO NEGRÃO,404
RENATO SAMPAIO,368
MARIA DO ROSÁRIO CARNEIRO,354
ODETE JOÃO,346
MARIA JOÃO FONSECA,338
BRUNO DIAS,337
LUÍS FAZENDA,312
ARMANDO FRANÇA,292
ODETE SANTOS,264
JOSÉ APOLINÁRIO,256
ANTÓNIO CHORA,255
RICARDO FONSECA DE ALMEIDA,236
RITA NEVES,225
HERMÍNIO LOUREIRO,218
BERNARDINO SOARES,215
JOSÉ MIGUEL MEDEIROS,178
JORGE LACÃO,177
LUÍSA MESQUITA,176
FERNANDO ROSAS,172
MIGUEL MACEDO,162
JOSÉ PAULO AREIA DE CARVALHO,141
MIGUEL ANACORETA CORREIA,137
ANTÓNIO GALAMBA,134
JORGE SEGURO SANCHES,133
VIRGÍLIO ALMEIDA COSTA,126
HORÁCIO ANTUNES,118
JOSÉ FREIRE ANTUNES,110
MARTA REBELO,107
DANIEL FANGUEIRO,102
MÁRIO ALBUQUERQUE,96
VITALINO CANAS,93
JOEL HASSE FERREIRA,90
HONÓRIO NOVO,88
EUGÉNIO MARINHO,88
ANA DRAGO,82
BRUNO VITORINO,76
EDUARDO CABRITA,72
OSVALDO DE CASTRO,63
MARIA ANTÓNIA DE ALMEIDA SANTOS,62
JOÃO SEMEDO,60
JOSÉ CESÁRIO,60
BRUNO VELOSO,57
ABÍLIO DIAS FERNANDES,54
LAURENTINO DIAS,52
CARLOS POÇO,51
HELOÍSA APOLÓNIA,50
MIGUEL QUEIROZ,50
ROSÁRIO ÁGUAS,47
HUGO VELOSA,41
ANA COUTO,41
FERNANDO PRATAS,39
MARCOS SÁ,39
ARMÉNIO SANTOS,37
MARIA IRENE SILVA,37
DIOGO FEIO,37
JOSÉ SOEIRO,34
JÚLIO MANUEL VASCONCELOS,33
MARISA COSTA,33
JOAQUIM COUTO,32
PAULO BATISTA SANTOS,31
SUSANA AMADOR,28
JUDITE JORGE,28
CARLOS LAGE,27
IDÁLIA MONIZ,24
ANTÓNIO MONTALVÃO MACHADO,24
VENTURA LEITE,23
ASCENSO SIMÕES,23
HENRIQUE ANTÓNIO TRONCHO,23
ALDA MACEDO,23
LÚCIO FERREIRA,21
PEDRO PESTANA BASTOS,19
TERESA VASCONCELOS CAEIRO,19
CARLOS ZORRINHO,16
CEIA DA SILVA,15
BRUNO VENTURA,15
MIRANDA CALHA,15
JACINTO SERRÃO,13
AGOSTINHO BRANQUINHO,13
ABEL BAPTISTA,13
MARIA JOSÉ GAMBOA,12
UMBERTO PACHECO,12
EMÍDIO GUERREIRO,11
MANUEL PIZARRO,11
SÓNIA FERTUZINHOS,10
NELSON BALTAZAR,9
JOSÉ MOURA SOEIRO,9
NATÁLIA CARRASCALÃO,9
JOÃO SERRANO,8
AFONSO CANDAL,8
MARIA OFÉLIA MOLEIRO,7
MARCOS PERESTRELLO,7
ÁLVARO CASTELLO-BRANCO,7
RENATO GONÇALVES,6
REGINA RAMOS BASTOS,6
FERNANDO SERRASQUEIRO,6
CECÍLIA HONÓRIO,5
PAULO BARRADAS,5
MIGUEL COLETA,5
ROSALINA MARTINS,5
JOÃO TITA NUNES,5
CLÁUDIA COUTO VIEIRA,4
ALTINO BESSA,4
IRENE VELOSO,4
TERESA MORAES SARMENTO,3
PEDRO QUARTIN GRAÇA,3
ISMÉNIA FRANCO,3
MIGUEL GINESTAL,3
LUÍS CARLOTO MARQUES,3
FERNANDA ASSEICEIRA,2
BRAVO NICO,2
MARIANA AIVECA,2
MAXIMIANO MARTINS,2
SÓNIA SANFONA,1
MIGUEL LARANJEIRO,1
VITOR RAMALHO,1
LUÍS PITA AMEIXA,1
MELCHIOR MOREIRA,1
LUÍSA SALGUEIRO,1
ALCÍDIA LOPES,0
JOAQUIM ALBERTO CÊRCA,0
MARIA CIDÁLIA FAUSTINO,0
MAGDA BORGES,0
JORGE TADEU MORGADO,0
ALDEMIRA PINHO,0
LUIZ FAGUNDES DUARTE,0
JOSÉ ALBERTO FATEIXA,0
MARIA IDALINA TRINDADE,0
JOVITA LADEIRA,0
SÉRGIO LIPARI,0
MARIA JÚLIA CARÉ,0
TELMA MADALENO,0
MÁRIO FONTEMANHA,0
MARISA MACEDO,0
IDALINO PEREIRA,0
ROSA MARIA ALBERNAZ,0
HORTENSE MARTINS,0
GERMANA ROSETE,0
OLÍMPIA CANDEIAS,0
EUGÉNIA SANTANA ALHO,0
RENATO LEAL,0
ESMERALDA SALERO RAMIRES,0
DELMAR PALAS,0
PEDRO FARMHOUSE,0
LUÍS CARITO,0
